Gender,Year,Year_Date_Time,Count,EventID,Country_code,Crime_type,Country,Region,Subregion,Region Code,Subregion Code,Value_Type,Metric_Type,Is_Currency,Age_Group,Start_Age,End_Age
Male,2000,01/01/2000,118,J000000001,8,Homicide,Albania,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,225,J000000002,36,Homicide,Australia,Oceania,Australia and New Zealand,9,53,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,28,J000000003,40,Homicide,Austria,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,57,J000000004,44,Homicide,Bahamas,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,65,J000000005,51,Homicide,Armenia,Asia,Western Asia,142,145,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,15,J000000006,52,Homicide,Barbados,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,128,J000000007,56,Homicide,Belgium,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,79,J000000008,70,Homicide,Bosnia and Herzegovina,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,41585,J000000009,76,Homicide,Brazil,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,2,J000000010,96,Homicide,Brunei Darussalam,Asia,South-eastern Asia,142,35,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,234,J000000011,100,Homicide,Bulgaria,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,397,J000000012,124,Homicide,Canada,Americas,Northern America,19,21,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,3,J000000013,136,Homicide,Cayman Islands,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,24614,J000000014,170,Homicide,Colombia,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,208,J000000015,188,Homicide,Costa Rica,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,68,J000000016,191,Homicide,Croatia,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,432,J000000017,192,Homicide,Cuba,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,142,J000000018,203,Homicide,Czechia,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,26,J000000019,208,Homicide,Denmark,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,1688,J000000020,218,Homicide,Ecuador,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,117,J000000021,233,Homicide,Estonia,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,102,J000000022,246,Homicide,Finland,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,819,J000000023,276,Homicide,Germany,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,117,J000000024,348,Homicide,Hungary,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,32971,J000000025,356,Homicide,India,Asia,Southern Asia,142,34,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,29,J000000026,372,Homicide,Ireland,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,115,J000000027,376,Homicide,Israel,Asia,Western Asia,142,145,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,575,J000000028,380,Homicide,Italy,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,348,J000000029,392,Homicide,Japan,Asia,Eastern Asia,142,30,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,354,J000000030,417,Homicide,Kyrgyzstan,Asia,Central Asia,142,143,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,268,J000000031,440,Homicide,Lithuania,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,14,J000000032,480,Homicide,Mauritius,Africa,Sub-Saharan Africa,2,202,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,9451,J000000033,484,Homicide,Mexico,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,312,J000000034,498,Homicide,Republic of Moldova,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,0,J000000035,500,Homicide,Montserrat,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,120,J000000036,528,Homicide,Netherlands,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,31,J000000037,554,Homicide,New Zealand,Oceania,Australia and New Zealand,9,53,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,26,J000000038,578,Homicide,Norway,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,270,J000000039,591,Homicide,Panama,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
